,segment_id,scenario_id,direction_veh,left_veh_id,veh_straight_front_id,PET_straight_front,veh_straight_later_id,PET_straight_later,
0,0,34,_,187,276,4.100188971,309,4.600003004,4.600003004
1,5,78,_,22,23,2.199765921,55,4.500198126,4.500198126
2,7,11,_,18,13,2.19995594,24,2.199860096,2.19995594
3,13,36,_,22,20,1.60015893,28,2.999850035,2.999850035
4,26,63,_,2369,1674,5.093346119,1679,3.475090981,5.093346119
5,32,39,_,3734,855,7.389832973,885,3.783526897,7.389832973
6,32,62,_,782,781,5.301780939,793,3.399994135,5.301780939
7,64,43,_,1274,1279,4.200054884,1280,4.100327969,4.200054884
8,78,51,_,1399,345,3.38972187,348,2.684213161,3.38972187
9,82,8,_,1778,1457,7.482925892,1468,4.489620924,7.482925892
10,94,67,_,36,24,6.500366926,31,3.700190067,6.500366926
11,98,26,_,133,143,2.000152826,239,2.299847126,2.299847126
12,100,49,_,1322,1316,4.399976969,1324,2.100006104,4.399976969
13,103,54,_,1231,1228,3.799780846,1233,4.799962044,4.799962044
14,111,87,_,1979,1986,2.997275829,2057,3.800018072,3.800018072
15,119,52,_,11,4,2.499907017,0,3.800045013,3.800045013
16,144,15,_,62,61,6.1182549,66,4.016115189,6.1182549
17,146,2,_,605,568,5.900134802,565,3.710116148,5.900134802
18,147,46,_,342,364,2.599911928,362,2.899518967,2.899518967
19,154,72,_,588,587,4.212054968,594,3.001327991,4.212054968
20,154,76,_,3439,1399,4.289541006,1432,5.381777048,5.381777048
21,162,77,_,1847,1653,5.189700842,1692,3.383744001,5.189700842
22,170,1,_,1,21,1.700011969,29,2.799990892,2.799990892
23,171,68,_,28,11,7.59959507,1,3.899885893,7.59959507
24,174,17,_,768,779,6.899760962,786,3.199599981,6.899760962
25,181,56,_,2703,157,5.891704082,191,3.182087898,5.891704082
26,187,75,_,15,8,2.899815083,50,4.199934959,4.199934959
27,190,8,_,684,713,3.800121069,794,5.999962807,5.999962807
28,193,44,_,1178,1175,3.100080013,1187,3.699864864,3.699864864
29,193,56,_,1159,1171,3.099994898,1210,2.59999299,3.099994898
30,196,52,_,1947,1975,3.300369978,1982,4.899837017,4.899837017
31,202,37,_,12,3,2.600217104,356,4.20046401,4.20046401
32,209,3,_,1080,1078,3.799093008,1084,4.19985199,4.19985199
33,217,53,_,2733,2072,4.688754082,2092,3.48555398,4.688754082
34,220,34,_,787,752,4.400060892,898,4.699883938,4.699883938
35,242,51,_,1259,1107,4.986048222,1108,3.98525095,4.986048222
36,251,4,_,350,654,1.90032506,347,1.999793053,1.999793053
37,266,25,_,1134,1099,3.399857998,1547,4.300145864,4.300145864
38,276,30,_,1310,1266,7.700428963,1287,4.79996109,7.700428963
39,296,35,_,1061,799,3.691967964,806,5.078082085,5.078082085
40,303,9,_,717,715,2.899865866,716,3.699929953,3.699929953
41,306,30,_,1253,1262,1.799955845,1267,3.200052977,3.200052977
42,306,36,_,1531,1532,1.799983025,1536,4.199846029,4.199846029
43,307,57,_,791,804,2.800071001,826,3.599994183,3.599994183
44,308,53,_,6,5,4.199993134,12,3.499667883,4.199993134
45,313,53,_,811,807,6.799889088,803,3.60010004,6.799889088
46,321,59,_,3525,1365,2.387634993,1375,3.586335897,3.586335897
47,381,3,_,1630,774,6.987417936,793,3.385890007,6.987417936
48,396,61,_,4,8,4.903207064,44,2.896959782,4.903207064
49,414,65,_,879,891,4.399950027,898,2.810266018,4.399950027
50,430,62,_,1773,90,4.587934017,113,3.387052059,4.587934017
51,454,67,_,374,352,3.599837065,351,3.800093889,3.800093889
52,461,54,_,1387,1360,2.100071907,1364,3.100033998,3.100033998
53,476,56,_,1409,1418,1.9004879,1420,2.501772165,2.501772165
54,487,12,_,1121,1123,7.786252022,1128,3.692309856,7.786252022
55,501,42,_,2298,23,6.285690069,25,3.988065004,6.285690069
56,517,34,_,926,906,4.300029039,944,3.099924803,4.300029039
57,542,53,_,1251,1266,4.899981022,1270,2.000046015,4.899981022
58,566,52,_,2285,116,4.985370159,123,3.689004898,4.985370159
59,568,42,_,220,92,3.600041866,91,3.79937911,3.79937911
60,572,42,_,4030,1318,3.489557981,1336,3.783190966,3.783190966
61,572,62,_,643,2652,3.299216986,658,3.001541853,3.299216986
62,573,31,_,1345,450,7.192101002,460,3.281103134,7.192101002
63,573,40,_,3396,1610,6.188753128,1613,3.573883057,6.188753128
64,578,9,_,306,309,2.29994297,311,5.100058079,5.100058079
65,588,64,_,981,962,2.799944878,961,4.000010014,4.000010014
66,591,21,_,228,1,7.188184023,4,3.385780811,7.188184023
67,593,36,_,2070,2083,2.90005517,2085,5.399503946,5.399503946
68,597,29,_,545,704,5.700528145,556,3.598836899,5.700528145
69,615,13,_,925,939,3.499958038,952,2.600106955,3.499958038
70,634,52,_,706,723,2.699263096,726,3.204037905,3.204037905
71,644,40,_,684,681,4.299903154,666,3.899576902,4.299903154
72,660,6,_,2485,2152,6.690335989,2156,4.278867006,6.690335989
73,680,36,_,765,766,2.804239988,772,5.700691938,5.700691938
74,684,40,_,6,0,2.000087023,4,6.699829102,6.699829102
75,698,43,_,839,267,6.990324974,270,3.179064989,6.990324974
76,707,63,_,393,384,3.900087118,390,4.699240923,4.699240923
77,726,36,_,1115,1092,5.692416906,1098,4.372291088,5.692416906
78,738,49,_,623,614,2.999734879,620,2.500077009,2.999734879
79,758,51,_,1325,1329,5.982841969,1326,3.096325159,5.982841969
80,760,17,_,332,328,4.509672165,336,5.900375843,5.900375843
81,761,16,_,732,734,2.599952936,741,4.700034857,4.700034857
82,763,23,_,4189,1439,4.883026123,1449,3.990126848,4.883026123
83,773,63,_,1999,101,7.593374014,103,3.674351931,7.593374014
84,780,25,_,1726,1696,8.492331028,1707,4.28194809,8.492331028
85,791,13,_,885,883,2.900269032,920,6.800276041,6.800276041
86,807,11,_,848,244,7.08972311,276,3.384120941,7.08972311
87,828,57,_,2894,861,4.189846039,866,3.882802963,4.189846039
88,853,17,_,991,972,4.799834967,5152,5.499835968,5.499835968
89,882,69,_,1283,1269,5.799922943,1400,5.300132036,5.799922943
90,888,42,_,28,25,7.400657892,10,4.799986124,7.400657892
91,937,23,_,483,487,3.500066996,485,5.200031042,5.200031042
,,,,,,4.394813211,844.8586957,3.855002852,4.987900804
