,segment_id,scenario_id,risk_down,risk_up,scoring_left,scoring_straight
0,0,34,0.3,0.5,0.06134016725213714,-0.1123438551769039
1,5,78,0.3,0.5,-0.06966961369869572,-0.0022256635923766656
2,7,11,0.3,0.5,0.23053062653839665,-0.1997363465425359
3,13,36,0.3,0.5,-0.38351355701575174,0.06681269785097274
4,26,63,0.3,0.5,0.00687426333837032,-0.010019218461408559
5,32,39,0.3,0.5,0.5569753753036818,-0.03268259981229489
6,32,62,0.3,0.5,0.05936968689596858,0.2529778951818512
7,64,43,0.3,0.5,0.20573211008322634,0.02086682151173773
8,78,51,0.3,0.5,0.20007365716001338,0.014989599920229687
9,82,8,0.3,0.5,0.22781342471979404,-0.2138729686957526
10,94,67,0.3,0.5,0.11900300014381406,0.19265718846464122
11,98,26,0.3,0.5,-0.01843767184424403,0.12825503293028978
12,100,49,0.3,0.5,0.2626667442753084,-0.1711949863413193
13,102,11,0.3,0.5,0.18367703173673175,-0.03267155695282888
14,103,54,0.3,0.5,0.1711141560203626,0.07774142552048988
15,111,87,0.3,0.5,0.016961518045170963,0.16503603050281668
16,119,52,0.3,0.5,0.1216582958718527,0.07908176133659653
17,144,15,0.3,0.5,-0.3421423066420024,0.22537387277699011
18,146,2,0.3,0.5,-0.10265274971325722,0.18666466837419027
19,147,46,0.3,0.5,0.11888950019464166,-0.05577945474918521
20,151,57,0.3,0.5,-0.2684322105800275,0.11879888845026526
21,154,72,0.3,0.5,0.04185667982547603,-0.11768266167712807
22,154,76,0.3,0.5,-0.42594083659641624,0.07156756489623059
23,162,77,0.3,0.5,-0.4609757960342257,0.010492656504545719
24,170,1,0.3,0.5,-0.18228956066044327,0.13839434458467958
25,171,68,0.3,0.5,-0.048638358630038986,0.179707505774365
26,174,17,0.3,0.5,0.14756972054974174,-0.16483821911297278
27,181,56,0.3,0.5,-0.38785587125656856,-0.11864780655576042
28,187,75,0.3,0.5,-0.13077898999708387,0.02185294525895373
29,190,8,0.3,0.5,0.16231001395787598,0.09172059110100343
30,193,44,0.3,0.5,-0.30663319660886623,0.13755525403106164
31,193,56,0.3,0.5,0.018379351028074628,-0.07490569678452151
32,196,52,0.3,0.5,-0.1024538467478629,0.11579818180632487
33,202,37,0.3,0.5,0.03953946283163842,0.08161806551874398
34,209,3,0.3,0.5,-0.1465502575606022,0.039857833683185115
35,217,53,0.3,0.5,-0.6355301435918932,0.01896650113588687
36,220,34,0.3,0.5,-0.15714150781135694,-0.03944737984122773
37,228,55,0.3,0.5,0.015381057691322815,0.09784341832541535
38,242,51,0.3,0.5,-0.4221233310507327,-0.16998475514759268
39,251,4,0.3,0.5,-0.28333706154366606,0.07840885283378983
40,266,25,0.3,0.5,-0.03941423977745426,0.07003232990233149
41,276,30,0.3,0.5,0.2249904719966951,0.12497337270730004
42,296,35,0.3,0.5,-0.47765727019769744,0.122988937861341
43,303,9,0.3,0.5,-0.11201011268879289,0.11798341668425254
44,306,30,0.3,0.5,0.022117538232502898,-0.0016890521433241329
45,306,36,0.3,0.5,0.13088392925838405,0.025903898379278995
46,307,57,0.3,0.5,-0.21625147084719537,-0.08028941667625476
47,308,11,0.3,0.5,0.547762616009509,0.12068859490188306
48,308,53,0.3,0.5,0.16687707705236884,0.14769538332131155
49,313,53,0.3,0.5,-0.13186732018363775,0.11766823172082938
50,321,59,0.3,0.5,-0.4718056184181675,0.1447420973563599
51,381,3,0.3,0.5,-0.24617943356625807,0.05513504465375512
52,396,61,0.3,0.5,-0.1736163532902561,0.07621431593341069
53,414,65,0.3,0.5,0.07413536312320086,0.11731147908458062
54,430,62,0.3,0.5,0.19076217811366164,-0.05668435625238088
55,454,67,0.3,0.5,0.305488102750258,0.27282269775192025
56,461,54,0.3,0.5,0.12732954322073187,-0.1563545100942138
57,476,56,0.3,0.5,-0.3410956548130534,0.10951807733235665
58,487,12,0.3,0.5,0.03851018291879293,0.14806904787405856
59,501,42,0.3,0.5,-0.14592420828051553,0.1410877999056786
60,517,34,0.3,0.5,0.0607126183513021,-0.1467297361690102
61,530,57,0.3,0.5,-0.17442265562283205,0.001104202469473757
62,0,34,0.4,0.6,0.15851201927771225,-0.09230001277577746
63,5,78,0.4,0.6,-0.07461513881529928,-0.03001877652838705
64,7,11,0.4,0.6,0.2391228356483685,-0.2024334899689211
65,13,36,0.4,0.6,-0.3691499682862865,0.04716533265863297
66,26,63,0.4,0.6,0.006141702334738665,0.011287576981722246
67,32,39,0.4,0.6,0.5576536440773721,-0.04147999036725169
68,32,62,0.4,0.6,0.057811962768520055,0.2949401322578667
69,64,43,0.4,0.6,0.2269771710034196,0.020112747739566346
70,78,51,0.4,0.6,-0.03970395154088749,-0.0027735224099625995
71,82,8,0.4,0.6,0.21639730802392196,-0.2092249110440688
72,94,67,0.4,0.6,0.12084411624988331,0.1946365233236578
73,98,26,0.4,0.6,-0.016891593481674527,0.056158666094187605
74,100,49,0.4,0.6,0.28591995945803866,-0.15510583166277525
75,102,11,0.4,0.6,0.18759299541193183,0.030543867426764824
76,103,54,0.4,0.6,0.1655015640570287,0.07218686895169195
77,111,87,0.4,0.6,0.01958592450474302,0.14177947095721474
78,119,52,0.4,0.6,0.17002627137987888,0.06772532756307004
79,144,15,0.4,0.6,-0.33961895476832377,0.21930918261224852
80,146,2,0.4,0.6,-0.10081525341488018,0.19301977023766206
81,147,46,0.4,0.6,0.11621444557106547,-0.06667461432326868
82,151,57,0.4,0.6,-0.2647142931931384,0.11693289523092591
83,154,72,0.4,0.6,0.05793423218461672,-0.058805971111698545
84,154,76,0.4,0.6,-0.421084695243281,0.05810334597102591
85,162,77,0.4,0.6,-0.463422156694987,0.002694362872333747
86,170,1,0.4,0.6,-0.18403681199266286,0.1402572860745818
87,171,68,0.4,0.6,-0.04653688637205569,-0.003916131982669925
88,174,17,0.4,0.6,0.1254000792469943,-0.1444299841299347
